#script,tags,URL,Test Case id,Automation_Id,Expected Results,Argument 1
../DomainAdmin/TC_Gen2_DomAdmin_C42472.sah,"Domain_Admin,All,Gen2_DomAdmin_C42472,User_Management,All_Users,Add,Demo",http://sahitest.com/demo/training/login.htm,C42472,Gen2_DomAdmin_C42472,"1. Domain admin should be able to add an user successfully.
2. User name along with details entered on step 4 should be displayed on the table consisting on pending members
3. Added user should receive a email from 'SecureLine Support' contains email initiation link

4. Added  user must be displayed under 'pending' section of user management page.",
../DomainAdmin/TC_Gen2_DomAdmin_C42473.sah,"Domain_Admin,All,Gen2_DomAdmin_C42473,Organisation,Add,Demo",http://sahitest.com/demo/training/login.htm,C42473,Gen2_DomAdmin_C42473,"1. Domain admin should be able to add  an 'organizations' successfully.

2. Newly added organization should be displayed on the last frame table

3. Newly created organization should be  displayed on the module  'User Roles> Organization admin'.",
../DomainAdmin/TC_Gen2_DomAdmin_C42474.sah,"Domain_Admin,All,Gen2_DomAdmin_C42474,Organisation,Add,Demo",http://sahitest.com/demo/training/login.htm,C42474,Gen2_DomAdmin_C42474,Members included for the organization must be listed  under 'Members' tab for the organization created by domain admin.,
../DomainAdmin/TC_Gen2_DomAdmin_C42475.sah,"Domain_Admin,All,Gen2_DomAdmin_C42475,Groups,User_Group,Add,Demo",http://sahitest.com/demo/training/login.htm,C42475,Gen2_DomAdmin_C42475,"1. Domain admin can add  a 'User Groups' successfully.

2. Newly added 'User Groups' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42475.sah,"Domain_Admin,All,Gen2_DomAdmin_C42475,Groups,User_Group,Add,Demo",http://sahitest.com/demo/training/login.htm,C42475,Gen2_DomAdmin_C42475,"1. Domain admin can add  a 'User Groups' successfully.

2. Newly added 'User Groups' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42477.sah,"Domain_Admin,All,Gen2_DomAdmin_C42477,Groups,Policy_Group,Add,Demo",http://sahitest.com/demo/training/login.htm,C42477,Gen2_DomAdmin_C42477,"1. Domain admin should be able to add  a 'Policy Groups' successfully.

2. Newly added 'Policy Groups' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42472.sah,"Domain_Admin,All,Gen2_DomAdmin_C42472,User_Management,All_Users,Add,Demo",http://sahitest.com/demo/training/login.htm,C42472,Gen2_DomAdmin_C42472,"1. Domain admin should be able to add an user successfully.
2. User name along with details entered on step 4 should be displayed on the table consisting on pending members
3. Added user should receive a email from 'SecureLine Support' contains email initiation link

4. Added  user must be displayed under 'pending' section of user management page.",
../DomainAdmin/TC_Gen2_DomAdmin_C42479.sah,"Domain_Admin,All,Gen2_DomAdmin_C42479,Groups,Contact_Group,Add",http://sahitest.com/demo/training/login.htm,C42479,Gen2_DomAdmin_C42479,"1. Domain admin should be able to add  a 'Contact Groups' successfully.

2. Newly added 'Contact Groups' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42480.sah,"Domain_Admin,All,Gen2_DomAdmin_C42480,MBN,Add",http://sahitest.com/demo/training/login.htm,C42480,Gen2_DomAdmin_C42480,Members included for the 'Contact  Groups' should be displayed under 'Contact  Groups'.,
../DomainAdmin/TC_Gen2_DomAdmin_C42483.sah,"Domain_Admin,All,Gen2_DomAdmin_C42483,MBN,Add",http://sahitest.com/demo/training/login.htm,C42483,Gen2_DomAdmin_C42483,"1. Domain admin should be able to add  'MBN' with 'Voice only' type successfully.

2. Newly added 'MBN' should be displayed on the last frame along with all the details entered.",
../DomainAdmin/TC_Gen2_DomAdmin_C42484.sah,"Domain_Admin,All,Gen2_DomAdmin_C42484,MBN,Add",http://sahitest.com/demo/training/login.htm,C42484,Gen2_DomAdmin_C42484,"1. Domain admin should be able to add  'MBN' with 'Message only' type successfully.

2. Newly added 'MBN' should be displayed on the last frame along with all the details entered.",
../DomainAdmin/TC_Gen2_DomAdmin_C42485.sah,"Domain_Admin,All,Gen2_DomAdmin_C42485,MBN,Add",http://sahitest.com/demo/training/login.htm,C42485,Gen2_DomAdmin_C42485,"1. Domain admin should be able to add  'MBN' with 'Voice and Messaging ' type successfully.

2. Newly added 'MBN' should be displayed on the last frame along with all the details entered.",
../DomainAdmin/TC_Gen2_DomAdmin_C42487.sah,"Domain_Admin,All,Gen2_DomAdmin_C42487,MBN,Add",http://sahitest.com/demo/training/login.htm,C42487,Gen2_DomAdmin_C42487,"1. App should not allow domain admin  to create duplicate MBN  with same country and same MBN type.

2. An 'ERROR-Duplicate MBN value' popup should be displayed.",
../DomainAdmin/TC_Gen2_DomAdmin_C42489.sah,"Domain_Admin,All,Gen2_DomAdmin_C42489,MBN,Unassign",http://sahitest.com/demo/training/login.htm,C42489,Gen2_DomAdmin_C42489,"1. Domain admin should be able to  unassign the Employee/User who has associated with MBN 

2. Unassigned Member should not be displayed under 'Assigned To' tab",
../DomainAdmin/TC_Gen2_DomAdmin_C42490.sah,"Domain_Admin,All,Gen2_DomAdmin_C42490,Policies,Policy_sets",http://sahitest.com/demo/training/login.htm,C42490,Gen2_DomAdmin_C42490,"1. Domain admin should be able to  include policy members by selecting a 'Policy Groups'  while creating a policy.

2. Domain admin should be able to add  'Policy' successfully.

3. Newly added policy should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42491.sah,"Domain_Admin,All,Gen2_DomAdmin_C42491,Add",http://sahitest.com/demo/training/login.htm,C42491,Gen2_DomAdmin_C42491,"1. Domain admin should be able  include policy members by selecting members individually from the member list

2. Domain admin should be able to add  'Policy' successfully.

3. Newly added policy should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42493.sah,"Domain_Admin,All,Gen2_DomAdmin_C42493,Groups,Policy_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42493,Gen2_DomAdmin_C42493,"1. Members unassigned for the 'Policy Groups' is   removed from the 'Policy  Groups'.
2. Changes made on the 'Policy Groups' should be reflected on the mapped the policy",
../DomainAdmin/TC_Gen2_DomAdmin_C42494.sah,"Domain_Admin,All,Gen2_DomAdmin_C42494,Groups,Contact_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42494,Gen2_DomAdmin_C42494,Members unassigned for the 'User Groups' should be  removed from the 'User Groups'.,
../DomainAdmin/TC_Gen2_DomAdmin_C42495.sah,"Domain_Admin,All,Gen2_DomAdmin_C42495,Groups,Contact_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42495,Gen2_DomAdmin_C42495,Members unassigned for the 'Contact Groups' should be  removed from the 'Contact  Groups',
../DomainAdmin/TC_Gen2_DomAdmin_C42497.sah,"Domain_Admin,All,Gen2_DomAdmin_C42497,Groups,Policy_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42497,Gen2_DomAdmin_C42497,"1. Domain admin should be able to assign more members to the existing  'Policy  Groups'

2. Newly assigned members should be displayed under the 'Policy  Groups'  in last frame's table",
../DomainAdmin/TC_Gen2_DomAdmin_C42498.sah,"Domain_Admin,All,Gen2_DomAdmin_C42498,Groups,User_Group,Assign",http://sahitest.com/demo/training/login.htm,C42498,Gen2_DomAdmin_C42498,"1. Domain admin should be able to assign more members to the  existing 'User Groups'

2. Newly assigned members should be displayed under the 'User   Groups' in last frame's table",
../DomainAdmin/TC_Gen2_DomAdmin_C42499.sah,"Domain_Admin,All,Gen2_DomAdmin_C42499,Groups,Contact_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42499,Gen2_DomAdmin_C42499,"1. Domain admin should be able to assign more members to the   existing 'Contact Groups' 

2. Newly assigned members should be displayed under the  'Contact Groups'   in last frame's table",
../DomainAdmin/TC_Gen2_DomAdmin_C42499.sah,"Domain_Admin,All,Gen2_DomAdmin_C42499,Groups,Contact_Group,Unassign",http://sahitest.com/demo/training/login.htm,C42499,Gen2_DomAdmin_C42499,"1. Domain admin should be able to add  'Custom Reports' successfully.

2. Newly added 'Custom Reports' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42502.sah,"Domain_Admin,All,Gen2_DomAdmin_C42502,Contacts,Add",http://sahitest.com/demo/training/login.htm,C42502,Gen2_DomAdmin_C42502,"1. Domain admin should be able to add  'Contacts' successfully .

2. Newly added 'Contacts' should be displayed in the mid frame.",
../DomainAdmin/TC_Gen2_DomAdmin_C42503.sah,"Domain_Admin,All,Gen2_DomAdmin_C42503,Organisation,Edit",http://sahitest.com/demo/training/login.htm,C42503,Gen2_DomAdmin_C42503,"1. Domain admin should be able to edit an user successfully.
2. Edited user details should be displayed to the edited member when he login. 
3. Edited user details should be displayed in the entire application .Eg., Contacts, Conversation etc., ",
../DomainAdmin/TC_Gen2_DomAdmin_C42504.sah,"Domain_Admin,All,Gen2_DomAdmin_C42504,User_Management,All,Edit",http://sahitest.com/demo/training/login.htm,C42504,Gen2_DomAdmin_C42504,"1. Domain admin should be able to edit  an 'organizations' successfully.

2. Updated organization should be reflected on the respective Organization admin and the associated organization members.",
../DomainAdmin/TC_Gen2_DomAdmin_C42505.sah,"Domain_Admin,All,Gen2_DomAdmin_C42505,Groups,User_Group,Edit",http://sahitest.com/demo/training/login.htm,C42505,Gen2_DomAdmin_C42505,Domain admin can edit  a 'User Groups' successfully.,
